ServicerIdentifier,NoteDate,PropertyValuationEffectiveDate,NoteAmount,CurrentBalance,CurrentInterestRatePercent,ScheduledFirstPaymentDate,LoanMaturityDate,LastPaidInstallmentDueDate,PropertyValuationAmount,LtvRatioPercentCurrent,CreditScoreValueRecent,TimesDq,Dti,CeilingRatePercent,FloorRatePercent,MarginRatePercent,Vintage,TypeProd,StateCode,Cbsa,NoteRatePercent,Age,MonthsUntilRateReset,IsCurrentlyIo,LastPaymentReceivedDate,NextPayDate,MonthsDq,LtvRatioPercent,IsArm,CurrentLtvRange,PaymentType,DelinquencyCategory
Select Portfolio Servicing,3/1/2007,3/1/2007,91500,30328.8,2,3/1/2007,2/1/2037,10/1/2019,1380090.498,6.63,790,0,34,0,0,3,2007,Fixed,CA,42020,2,151,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,12/1/2006,12/1/2006,83000,58680.07,2,12/1/2006,12/1/2036,10/1/2019,118809.0467,69.86,620,0,42,0,0,3,2006,Fixed,PA,37980,2,154,0,FALSE,8/29/2019,11/1/2019,0,98.81,FALSE,60.00 - 69.99,NeverBad,Current
Select Portfolio Servicing,3/1/2007,3/1/2007,79000,54903.39,2,3/1/2007,5/1/2037,10/1/2019,433114.0351,18.24,731,0,40,0,0,3,2007,Fixed,IL,16980,2,151,0,FALSE,9/1/2019,11/1/2019,0,26.24,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,3/1/2007,3/1/2007,122600,88940.68,2,3/1/2007,4/1/2037,10/1/2019,365315.8522,33.56,617,0,42,0,0,3,2007,Fixed,NJ,35620,2,151,0,FALSE,9/12/2019,11/1/2019,0,46.26,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,2/1/2007,2/1/2007,30400,7787.26,10.99,2/1/2007,3/1/2037,10/1/2019,593750,5.12,611,0,42,0,0,3,2007,Fixed,GA,12060,10.99,152,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,51000,30492.34,9.31,5/1/2007,5/1/2037,10/1/2019,217391.3043,23.46,626,0,42,0,0,3,2007,Fixed,PA,37980,9.31,149,0,FALSE,9/11/2019,11/1/2019,0,39.23,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,8/1/2007,8/1/2007,59000,25102.64,10.99,8/1/2007,9/1/2037,10/1/2019,441947.5655,13.35,603,0,42,0,0,3,2007,Fixed,FL,45300,10.99,146,0,FALSE,9/1/2019,11/1/2019,0,31.38,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,8/1/2005,8/1/2005,47986,31631.87,2,8/1/2005,10/1/2035,10/1/2019,363530.303,13.2,502,0,42,0,0,3,2005,Fixed,NC,39580,2,170,0,FALSE,9/15/2019,11/1/2019,0,20.03,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,53000,37881.66,2,5/1/2007,6/1/2037,10/1/2019,569280.3437,9.31,553,0,42,0,0,3,2007,Fixed,MD,12580,2,149,0,FALSE,9/11/2019,11/1/2019,0,13.02,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,8/1/2005,8/1/2005,64400,49225.56,6,8/1/2005,10/1/2035,10/1/2019,422572.1785,15.24,586,0,42,0,0,3,2005,Fixed,NC,39580,6,170,0,FALSE,9/1/2019,11/1/2019,0,19.94,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,9/1/2005,9/1/2005,19500,15087.21,7.382,9/1/2005,10/1/2035,10/1/2019,232696.8974,8.38,731,0,40,0,0,3,2005,Fixed,AL,13820,7.382,169,0,FALSE,9/1/2019,11/1/2019,0,10.83,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,72000,51297.69,2,5/1/2007,8/1/2037,10/1/2019,325644.5047,22.11,725,0,40,0,0,3,2007,Fixed,VA,47900,2,149,0,FALSE,9/1/2019,11/1/2019,0,31.03,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,67900,35379.49,2,5/1/2007,8/1/2027,10/1/2019,616152.4501,11.02,776,0,34,0,0,3,2007,Fixed,FL,45300,2,149,0,FALSE,10/5/2019,11/1/2019,0,21.15,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,6/1/2007,6/1/2007,31000,7488.19,2,6/1/2007,7/1/2022,10/1/2019,641821.9462,4.83,729,0,40,0,0,3,2007,Fixed,FL,37340,2,148,0,FALSE,9/1/2019,11/1/2019,0,20,FALSE,0.01 - 59.99,NeverBad,Current
Select Portfolio Servicing,5/1/2007,5/1/2007,35000,17063.3,2,5/1/2007,6/1/2027,10/1/2019,543478.2609,6.44,548,0,42,0,0,3,2007,Fixed,NC,16740,2,149,0,FALSE,9/21/2019,11/1/2019,0,13.21,FALSE,0.01 - 59.99,NeverBad,Bankruptcy
Rushmore,12/1/2006,12/1/2006,280000,199058.85,4.625,12/1/2006,8/1/2051,10/1/2019,350000,80,711,99,40,0,0,3,2006,Fixed,DC,47900,4.625,154,0,FALSE,6/1/2019,11/1/2019,3,,FALSE,80.00 - 89.99,Reperforming,90+ Days
Select Portfolio Servicing,6/1/2007,6/1/2007,57800,17931.24,8,6/1/2007,11/1/2027,10/1/2019,680000,8.5,509,0,42,0,0,3,2007,Fixed,CO,19740,8,148,0,FALSE,8/1/2019,11/1/2019,0,27.39,FALSE,0.01 - 59.99,NeverBad,Current
Rushmore,11/1/2004,11/1/2004,244000,227318.32,4.625,11/1/2004,3/1/2052,10/1/2019,305000,80,649,99,42,0,0,3,2004,Fixed,NC,39580,4.625,179,0,FALSE,10/1/2019,11/1/2019,0,,FALSE,80.00 - 89.99,Reperforming,Current
Select Portfolio Servicing,11/1/2005,11/1/2005,65500,2436.09,7.125,11/1/2005,12/1/2020,10/1/2019,10737704.92,0.61,701,0,40,0,0,3,2005,Fixed,NV,29820,7.125,167,0,FALSE,10/1/2019,11/1/2019,0,16.38,FALSE,0.01 - 59.99,NeverBad,Current
